id;name;phone;salary
1;program Yen SMS;1-044-136-1164;48178
2;Savings Account Sharable;1-562-067-5283 x542;72487
3;XSS;(391) 504-7193 x0702;11076
4;monetize Berkshire Points;656.319.5550;89121
5;Summit Table client-driven;664-602-3713 x1180;27596
6;next-generation Avon;1-379-181-5751;11323
7;Forint Coordinator purple;696-710-0161;13802
8;Accounts;(160) 178-1642;6559
9;Svalbard & Jan Mayen Islands frictionless disintermediate;571.816.0509 x638;39933
10;functionalities feed Greece;(162) 312-8815;3842
